,id,Premises,Relations,Prompt,Correct,Type,n_p,Derivation,pPrems,pCorrect,taskPremise,Premise1,Premise2,extraPremises,option1,option2,option3
0,1,"['Today is the opening of the new shop', 'Yesterday was the start of the academic year.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is the opening of the new shop. Yesterday was the start of the academic year.","[1, 1, 0]",Regular,2,Mutual,"
1: Was the start of the academic year yesterday?
2: Is the opening of the new shop today?
3: Was the opening of the new shop yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,Today is the opening of the new shop,Yesterday was the start of the academic year.,,Was the start of the academic year yesterday?,Is the opening of the new shop today?,Was the opening of the new shop yesterday?
1,2,"['Today is the opening of the new shop', 'Yesterday was the start of the academic year.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the opening of the new shop. Yesterday was the start of the academic year. If today were yesterday and yesterday were today;","[0, 1, 1]",Temporal Reversal,2,Mutual,"
1: Would the opening of the new shop have been yesterday?
2: Would the start of the academic year have been yesterday?
3: Would the opening of the new shop be today?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,Today is the opening of the new shop,Yesterday was the start of the academic year.,If today were yesterday and yesterday were today;,Would the opening of the new shop have been yesterday?,Would the start of the academic year have been yesterday?,Would the opening of the new shop be today?
2,3,"['Today is my birthday', 'Yesterday was your birthday.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is my birthday. Yesterday was your birthday.","[1, 0, 1]",Regular,2,Mutual,"
1: Was your birthday yesterday?
2: Was my birthday yesterday?
3: Is my birthday today?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,Today is my birthday,Yesterday was your birthday.,,Was your birthday yesterday?,Was my birthday yesterday?,Is my birthday today?
3,4,"['Today is my birthday', 'Yesterday was your birthday.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is my birthday. Yesterday was your birthday. If today were yesterday and yesterday were today;","[0, 1, 1]",Temporal Reversal,2,Mutual,"
1: Would your birthday have been yesterday?
2: Would my birthday have been yesterday?
3: Would your birthday be today?","['no select', 'select', 'select']",Select all questions to which the answer is 'yes'.,Today is my birthday,Yesterday was your birthday.,If today were yesterday and yesterday were today;,Would your birthday have been yesterday?,Would my birthday have been yesterday?,Would your birthday be today?
4,5,"['Today is the first day of school', 'Yesterday was my birthday.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the first day of school. Yesterday was my birthday.","[1, 1, 0]",Regular,2,Mutual,"
1: Is my birthday today?
2: Was the first day of school yesterday?
3: Was my birthday yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,Today is the first day of school,Yesterday was my birthday.,,Is my birthday today?,Was the first day of school yesterday?,Was my birthday yesterday?
5,6,"['Today is the first day of school', 'Yesterday was my birthday.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is the first day of school. Yesterday was my birthday. If today were yesterday and yesterday were today;","[0, 0, 1]",Temporal Reversal,2,Mutual,"
1: Would the first day of school be today?
2: Would my birthday have been yesterday?
3: Would my birthday be today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,Today is the first day of school,Yesterday was my birthday.,If today were yesterday and yesterday were today;,Would the first day of school be today?,Would my birthday have been yesterday?,Would my birthday be today?
6,7,"[""Today is John's birthday"", 'Yesterday was the festival.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is John's birthday. Yesterday was the festival.","[0, 1, 0]",Regular,2,Mutual,"
1: Was John's birthday yesterday?
2: Was the festival yesterday?
3: Is the festival today?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,Today is John's birthday,Yesterday was the festival.,,Was John's birthday yesterday?,Was the festival yesterday?,Is the festival today?
7,8,"[""Today is John's birthday"", 'Yesterday was the festival.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is John's birthday. Yesterday was the festival. If today were yesterday and yesterday were today;","[1, 1, 0]",Temporal Reversal,2,Mutual,"
1: Would John's birthday have been yesterday?
2: Would the festival be today?
3: Would the festival have been yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,Today is John's birthday,Yesterday was the festival.,If today were yesterday and yesterday were today;,Would John's birthday have been yesterday?,Would the festival be today?,Would the festival have been yesterday?
8,9,"['Today is the closing of the old shop', 'Yesterday was the opening of the new shop.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the closing of the old shop. Yesterday was the opening of the new shop.","[1, 0, 1]",Regular,2,Mutual,"
1: Is the opening of the new shop today?
2: Is the closing of the old shop today?
3: Was the closing of the old shop yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,Today is the closing of the old shop,Yesterday was the opening of the new shop.,,Is the opening of the new shop today?,Is the closing of the old shop today?,Was the closing of the old shop yesterday?
9,10,"['Today is the closing of the old shop', 'Yesterday was the opening of the new shop.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is the closing of the old shop. Yesterday was the opening of the new shop. If today were yesterday and yesterday were today;","[1, 0, 1]",Temporal Reversal,2,Mutual,"
1: Would the opening of the new shop be today?
2: Would the closing of the old shop be today?
3: Would the closing of the old shop have been yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,Today is the closing of the old shop,Yesterday was the opening of the new shop.,If today were yesterday and yesterday were today;,Would the opening of the new shop be today?,Would the closing of the old shop be today?,Would the closing of the old shop have been yesterday?
